CODEMP;CLASIFICACIÓN;GRUPO;CODCON;NOMCON;CATCON;CATRET;INDSAL;INDCOS;INDMOR;IND001;IND002;IND003;ESTCON;CODMON;CODSIS;CODPRO;CODTRN;GRUSER
12345;F;;RESTUVR;Reestructuracion Vivienda UVR;185;746;;;;;;;;0;3;33;50;0
12345;NA;;devo/exc;Devolucion de Excesos;128;8691;C;C;I;D;F;C;A;0;330;3;500;0
12345;;Estatutarios;ABOAPO;Aportes (ABONO EXTRA);4002;8699;C;C;N;D;S;F;A;0;14;41;10;0
12345;NA;;ADMPRT;Administracion Portafolio;19;8699;S;K;N;D;;C;A;0;30;170;500;0
12345;;Otros;ADM.ASOC;Cuota de Admision Asociado;4179;8699;C;C;N;D;S;F;A;0;14;53;1;0
12345;;Otros;ADM-ASOC;Cuota de Admision Asociado;4181;8699;C;C;N;D;S;F;A;0;30;211;500;0
12345;F;;ADMONTD;Tarjeta Debito;4060;8699;C;C;I;D;;C;A;0;50;1;10;0
12345;;Planes Adicionales Solidaridad;AJU.AUXI;Auxilio Funerario Ajuste;4082;9984;C;Z;N;D;;C;A;0;12;81;510;0
12345;;Planes Adicionales Solidaridad;AJU.SOLI;Ajuste Solidaridad;4085;9984;C;Z;N;D;;C;A;0;12;81;509;0
12345;;Planes Adicionales Solidaridad;AJUAUXI.;Auxilio Funerario Ajuste;4087;9984;C;Z;N;D;;C;A;0;12;181;510;0
12345;;Planes Adicionales Solidaridad;AJUEXEAD;Exequial Adicional;4079;9984;C;Z;N;D;;C;A;0;12;208;510;0
12345;;Planes Adicionales Solidaridad;AJUEXEQA;Exequial Asociado;4077;9984;C;Z;N;D;;C;A;0;12;206;510;0
12345;;Planes Adicionales Solidaridad;AJUEXEQF;Exequial F.Directo;4078;9984;C;Z;N;D;;C;A;0;12;207;510;0
12345;;Planes Adicionales Solidaridad;AJUHOSP;Hospitalizacion;4075;9984;C;Z;N;D;;C;A;0;12;204;510;0
12345;;Planes Adicionales Solidaridad;AJURECM;Recuperacion Mej.;4074;9984;C;Z;N;D;;C;A;0;12;203;510;0
12345;;Planes Adicionales Solidaridad;AJUREC11;Recuperacion 11;4072;9984;C;Z;N;D;;C;A;0;12;201;510;0
12345;;Planes Adicionales Solidaridad;AJUREC5;Recuperacion 5;4073;9984;C;Z;N;D;;C;A;0;12;202;510;0
12345;;Planes Adicionales Solidaridad;AJUSOLI.;Ajuste Solidaridad;4088;9984;C;Z;N;D;;C;A;0;12;181;509;0
12345;;Planes Adicionales Solidaridad;AJUSOL02;Solvencia 2 Años;4115;9984;C;Z;N;D;;C;A;0;12;187;509;0
12345;;Planes Adicionales Solidaridad;AJUSOL03;Solvencia 3 Años;4116;9984;C;Z;N;D;;C;A;0;12;188;509;0
12345;;Planes Adicionales Solidaridad;AJUSOL04;Solvencia 4 Años;4117;9984;C;Z;N;D;;C;A;0;12;189;509;0
12345;;Planes Adicionales Solidaridad;AJUSOL05;Solvencia 5 Años;4118;9984;C;Z;N;D;;C;A;0;12;190;509;0
12345;;Planes Adicionales Solidaridad;AJUSOL06;Solvencia 6 Años;4061;9984;C;Z;N;D;;C;A;0;12;191;509;0
12345;;Planes Adicionales Solidaridad;AJUSOL07;Solvencia 7 Años;4062;9984;C;Z;N;D;;C;A;0;12;192;509;0
